,State,MHP,Funding
0,Alaska,300889,16252
1,District of Columbia,626911,26468
2,South Dakota,205567,10262
3,Montana,277801,11316
4,Louisiana,166565,11211
5,New Mexico,203675,10480
6,North Dakota,235012,14327
7,Hawaii,636451,16950
8,West Virginia,108236,11709
9,Mississippi,126502,8735
10,Kentucky,146871,11125
11,Delaware,254108,14732
12,Vermont,254234,19134
13,Pennsylvania,194603,17383
14,Rhode Island,300808,16977
15,Arkansas,128101,10358
16,Wyoming,250890,18074
17,Texas,207301,10412
18,California,554886,13384
19,Florida,245169,13384
20,Alabama,138975,9633
21,South Carolina,185749,12269
22,Illinois,202675,17648
23,Michigan,173277,12745
24,Arizona,268765,8158
25,Tennessee,185922,9342
26,New York,321934,25651
27,Ohio,150374,13912
28,Georgia,201294,11089
29,Maine,242316,14960
30,North Carolina,202215,8672
31,Nebraska,175884,13140
32,Kansas,150657,12463
33,Missouri,162464,11897
34,Oklahoma,128934,8392
35,Iowa,152885,12705
36,Indiana,155640,11609
37,Wisconsin,202029,12815
38,Oregon,361970,12981
39,New Hampshire,290163,16950
40,Maryland,308041,16876
41,Washington,409228,14226
42,Connecticut,255555,20933
43,Massachusetts,422856,18112
44,New Jersey,335607,21559
45,Nevada,301753,9671
46,Virginia,285229,12364
47,Idaho,285982,7947
48,Minnesota,256857,14500
49,Colorado,397820,11524
50,Utah,348376,8301
